OBJECTID,Structure,Type,Long,Lat
281,Light or Signal Pole,Signal standard,-123.358217781426,48.4330079261306
282,Splice Box,CL s/w box (small),-123.35819959515,48.4331341504283
283,Light or Signal Pole,Merc street lamp,-123.357901106536,48.4331652010307
284,Light or Signal Pole,Merc street lamp,-123.357996584517,48.4329968305022
285,Splice Box,CL s/w box (small),-123.358155607738,48.4349037428021
286,Splice Box,CL s/w box (small),-123.358342200688,48.4335514702882
287,Light or Signal Pole,City pole,-123.355943690158,48.432268859497
288,Splice Box,CL s/w box (small),-123.363099679914,48.4340085345519
289,Splice Box,CL s/w box (small),-123.372848860752,48.4356508263098
290,Splice Box,CL s/w box (small),-123.372345328067,48.4354515346721
291,Splice Box,CL s/w box (small),-123.372491471752,48.4353892770006
292,Splice Box,CL s/w box (large),-123.372341038599,48.4354565866002
293,Splice Box,CL s/w box (small),-123.372416540153,48.4355947001398
294,Splice Box,CL s/w box (large),-123.357872360464,48.4353585942235
295,Light or Signal Pole,Signal standard,-123.357858996711,48.4353638879623
296,Light or Signal Pole,Signal standard,-123.358138219404,48.4353943079647
297,Splice Box,CL s/w box (small),-123.358206856232,48.4361522669111
298,Splice Box,CL s/w box (small),-123.358137578774,48.435506646541
299,Splice Box,CL s/w box (small),-123.375100765211,48.4348837247488
300,Splice Box,CL s/w box (small),-123.374634391952,48.4349716586539
301,Splice Box,CL s/w box (small),-123.362740154372,48.4340383830301
302,Splice Box,CL s/w box (small),-123.362808284995,48.4341508235707
303,Light or Signal Pole,Merc street lamp,-123.377823509085,48.4344968596512
304,Light or Signal Pole,Merc street lamp,-123.377244954708,48.4346244144392
305,Light or Signal Pole,Merc street lamp,-123.37753418048,48.4345610383582
306,Splice Box,CL s/w box (small),-123.367385130394,48.4336779949414
307,Manhole,City light manhole 0.8m,-123.367277150187,48.4335845517613
308,Splice Box,CL s/w box (small),-123.367371699179,48.4333400047011
309,Manhole,City light manhole 0.8m,-123.36730736887,48.4343377229622
310,Splice Box,CL s/w box (small),-123.367410835395,48.4340768771565
311,Splice Box,CL s/w box (small),-123.362378185521,48.4343497551009
312,Splice Box,CL s/w box (small),-123.362331704301,48.4342894632421
313,Splice Box,CL s/w box (small),-123.358115301141,48.4361621042975
314,Light or Signal Pole,Merc street lamp,-123.361442374631,48.4321672323553
315,Splice Box,CL s/w box (small),-123.361436031316,48.4321649131483
316,Splice Box,CL s/w box (small),-123.361918963306,48.4321240804851
317,Splice Box,CL s/w box (small),-123.362082668379,48.4320858193001
318,Splice Box,CL s/w box (small),-123.361354199986,48.4320392458786
319,Splice Box,CL s/w box (large),-123.367027731377,48.4319827379602
320,Splice Box,CL s/w box (small),-123.369629890417,48.4317944010243
321,Splice Box,CL s/w box (large),-123.367020059918,48.4318090279274
322,Manhole,City light manhole 0.8m,-123.366973615588,48.4302270612283
323,Splice Box,CL s/w box (small),-123.366939898719,48.4302848726457
324,Splice Box,CL s/w box (small),-123.366960211336,48.4303122744497
325,Splice Box,CL s/w box (small),-123.366481119845,48.4301532227428
326,Private lamp std,Private lamp std,-123.366431195082,48.4301286050059
327,Splice Box,CL s/w box (small),-123.367000933964,48.4313070759806
328,Junction Box,CL above grd junction box,-123.366934820751,48.4309962834158
329,Light or Signal Pole,Signal standard,-123.366956510444,48.4309933264125
330,Junction Box,CL above grd junction box,-123.366990832457,48.4309855519761
331,Splice Box,CL s/w box (large),-123.36696457529,48.4311233029089
332,Splice Box,CL s/w box (large),-123.366996669857,48.4311384993051
333,Light or Signal Pole,Light/signal pole,-123.366999181467,48.4311474950659
334,Light or Signal Pole,City pole,-123.36701742184,48.4315795555266
335,Light or Signal Pole,Merc street lamp,-123.36613214013,48.4311348457239
336,Splice Box,CL s/w box (small),-123.366463528652,48.4310039464364
337,Splice Box,CL s/w box (small),-123.363013712392,48.4341284147985
338,Splice Box,CL s/w box (small),-123.363048672135,48.4341338825328
339,Light or Signal Pole,Merc street lamp,-123.36289235775,48.4341278892831
340,Splice Box,CL s/w box (small),-123.362754477948,48.4339769300613
341,Splice Box,CL s/w box (small),-123.362750655443,48.433975520637
342,Light or Signal Pole,Merc street lamp,-123.362835614279,48.4339949016569
343,Splice Box,CL s/w box (small),-123.362921431978,48.4340000734278
344,Splice Box,CL s/w box (small),-123.377137336346,48.434651388062
345,Splice Box,CL s/w box (small),-123.376952133454,48.4346879905012
346,Light or Signal Pole,Merc street lamp,-123.376952720196,48.4346923788901
347,Light or Signal Pole,Merc street lamp,-123.376654054733,48.4347440241319
348,Splice Box,CL s/w box (small),-123.376651756956,48.4347375109501
349,Light or Signal Pole,Merc street lamp,-123.376326174872,48.434822911007
350,Splice Box,CL s/w box (large),-123.376324580447,48.4348175362825
351,Private lamp std,Private lamp std,-123.37631767858,48.4348402480663
352,Splice Box,CL s/w box (small),-123.375837406571,48.4347484194902
